COLLISION_ID,NUM_ACCIDENTS_BOROUGH,NUM_ACCIDENTS_ON_STREET,TIME_OF_DAY,SEVERITY,TEMPERATURE,RAIN_INTENSITY,CLOUDCOVER,WIND_INTENSITY,TRAFFIC_VOLUME,MEDIA,IS_NOT_FATAL
4220653,676,86,afternoon,moderate,mild,weak,0,moderate,medium,190.94,0
4220837,1514,71,afternoon,minor,mild,weak,0,weak,medium,228.58,1
4220685,1514,84,afternoon,minor,mild,weak,0,weak,medium,195.9,1
4220896,304,11,afternoon,moderate,mild,weak,0,weak,medium,123.55,0
4223266,1514,159,afternoon,minor,mild,weak,0,weak,medium,279.13,1
4220284,676,22,morning,minor,mild,null,0,weak,medium,561.23,1
4231956,1067,5,afternoon,moderate,mild,null,0,weak,light,66.6,0
4222583,1067,64,afternoon,moderate,mild,null,0,weak,medium,207.6,0
4220500,1514,8,afternoon,minor,mild,null,0,weak,medium,394.46,1
4220566,1514,159,afternoon,minor,mild,null,0,weak,medium,279.13,1
4220947,676,30,morning,minor,mild,null,0,weak,light,112.62,1
4221355,676,1,morning,minor,mild,null,0,weak,light,43.0,1
4221348,1514,178,evening,minor,mild,weak,0,weak,medium,111.61,1
4220605,1067,252,evening,minor,mild,weak,0,weak,medium,200.64,1
4220599,1067,9,evening,minor,mild,weak,0,weak,medium,85.83,1
4220667,1067,6,night,moderate,mild,null,0,weak,light,127.5,0
4220281,1067,252,night,moderate,mild,null,0,weak,light,200.64,0
4220793,676,30,night,minor,mild,null,0,weak,light,112.62,1
4220716,1067,64,evening,minor,mild,weak,0,moderate,medium,207.6,1
4220937,1514,8,evening,minor,mild,weak,0,moderate,medium,216.75,1
4222355,1067,8,evening,minor,mild,weak,0,moderate,light,64.72,1
4223814,1514,159,evening,minor,mild,weak,0,moderate,medium,279.13,1
4220830,676,59,evening,minor,mild,weak,0,moderate,medium,163.64,1
4220556,1067,8,afternoon,moderate,mild,weak,0,weak,light,64.72,0
4221154,676,21,evening,minor,mild,weak,0,moderate,medium,164.43,1
4220705,676,86,evening,minor,mild,weak,0,moderate,medium,190.94,1
4220736,1067,47,evening,moderate,mild,weak,0,moderate,light,76.9,0
4220660,676,86,evening,moderate,mild,weak,0,moderate,medium,190.94,0
4220614,1514,80,evening,moderate,mild,weak,0,moderate,medium,239.42,0
4220628,1067,252,evening,minor,mild,weak,0,moderate,medium,200.64,1
4220673,1067,6,evening,moderate,mild,weak,0,weak,light,73.58,0
4221316,1067,47,evening,moderate,mild,weak,0,weak,light,76.9,0
4220633,676,86,evening,minor,mild,weak,0,weak,medium,190.94,1
4220670,676,42,evening,minor,mild,weak,0,weak,medium,131.94,1
4220587,676,42,evening,minor,mild,weak,0,weak,medium,190.73,1
4220388,1067,6,morning,minor,mild,null,0,weak,medium,203.33,1
4220930,1514,12,morning,minor,mild,null,0,weak,medium,123.33,1
4220466,676,30,morning,minor,mild,null,0,weak,light,112.62,1
4221501,1514,84,morning,minor,mild,null,0,weak,medium,195.9,1
4221323,676,5,afternoon,minor,mild,null,0,moderate,light,56.0,1
