Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,22,9,45,BROOKLYN,40.641747,-73.98513,13 AVENUE,37 STREET,,0,0,17.2,0.0,0.0,0.0,6.4,243.0,BROOKLYN,33.0
2019,9,22,15,0,QUEENS,40.751785,-73.88469,82 STREET,35 AVENUE,,1,0,23.7,0.0,0.0,3.0,8.1,193.0,QUEENS,95.0
2019,9,22,16,0,QUEENS,40.76407,-73.80914,156 STREET,NORTHERN BOULEVARD,,0,0,25.2,0.0,0.0,8.0,10.6,198.0,QUEENS,189.0
2019,9,22,12,30,BROOKLYN,40.593807,-73.94062,AVENUE X,NOSTRAND AVENUE,,0,0,16.9,0.0,0.0,0.0,3.6,264.0,BROOKLYN,103.5
2019,9,22,10,0,QUEENS,40.728424,-73.79285,75 AVENUE,UTOPIA PARKWAY,,0,0,16.6,0.0,0.0,0.0,5.2,245.0,QUEENS,78.5
2019,9,22,18,45,QUEENS,40.75866,-73.876465,92 STREET,32 AVENUE,,0,0,27.7,0.0,0.0,10.0,10.8,201.0,QUEENS,60.25
2019,9,22,19,15,BROOKLYN,40.659027,-73.98508,18 STREET,8 AVENUE,,0,0,28.1,0.0,0.0,0.0,11.0,191.0,BROOKLYN,55.0
2019,9,22,19,15,QUEENS,40.744095,-73.90441,41 AVENUE,60 STREET,,0,0,28.1,0.0,0.0,0.0,11.0,191.0,BROOKLYN,72.5
2019,9,22,17,45,BROOKLYN,40.67619,-73.9081,EASTERN PARKWAY,ATLANTIC AVENUE,,0,0,26.5,0.0,0.0,16.0,11.3,202.0,BROOKLYN,229.5
2019,9,22,21,30,QUEENS,40.69433,-73.82697,120 STREET,ATLANTIC AVENUE,,0,0,27.5,0.0,0.0,0.0,14.6,171.0,BROOKLYN,127.0
2019,9,22,1,45,QUEENS,40.75487,-73.891884,75 STREET,NORTHERN BOULEVARD,,0,0,20.6,0.0,0.0,0.0,6.5,186.0,QUEENS,33.75
2019,9,23,19,45,BROOKLYN,40.685314,-73.91471,BOYLAND STREET,BROADWAY,,0,0,30.4,0.0,0.0,0.0,16.6,222.0,MANHATTAN,74.0
2019,9,23,19,45,MANHATTAN,40.82413,-73.94098,WEST 147 STREET,8 AVENUE,,1,0,30.4,0.0,0.0,0.0,16.6,222.0,BROOKLYN,43.5
2019,9,23,8,30,QUEENS,40.727383,-73.864105,AUSTIN STREET,63 DRIVE,,0,0,21.5,0.0,0.0,0.0,12.6,217.0,QUEENS,69.0
2019,9,23,8,15,QUEENS,40.736275,-73.772865,FRANCIS LEWIS BOULEVARD,73 AVENUE,,0,0,21.5,0.0,0.0,0.0,12.6,217.0,QUEENS,151.0
2019,9,23,8,0,QUEENS,40.726173,-73.86489,ALDERTON STREET,63 DRIVE,,0,0,21.5,0.0,0.0,0.0,12.6,217.0,QUEENS,72.0
2019,9,23,11,15,MANHATTAN,40.751522,-73.99396,WEST 33 STREET,8 AVENUE,,0,0,20.6,0.0,0.0,0.0,8.9,212.0,BROOKLYN,74.0
2019,9,23,13,30,,40.681126,-73.96446,WASHINGTON AVENUE,ATLANTIC AVENUE,,0,0,21.9,0.0,0.0,0.0,11.5,229.0,BROOKLYN,294.0
2019,9,23,0,0,BROOKLYN,40.617382,-73.943474,KINGS HIGHWAY,AVENUE N,,0,0,24.4,0.0,0.0,1.0,11.9,185.0,BROOKLYN,36.0
2019,9,23,0,45,QUEENS,40.67222,-73.80637,132 STREET,SUTTER AVENUE,,0,0,24.4,0.0,0.0,1.0,11.9,185.0,BROOKLYN,21.0
2019,9,23,14,30,QUEENS,40.721466,-73.804535,164 STREET,UNION TURNPIKE,,0,0,23.1,0.0,0.0,0.0,12.0,231.0,QUEENS,109.5
2019,9,23,14,0,MANHATTAN,40.846764,-73.933784,WEST 178 STREET,AUDUBON AVENUE,,0,0,23.1,0.0,0.0,0.0,12.0,231.0,MANHATTAN,32.75
2019,9,23,14,0,MANHATTAN,40.732845,-73.995926,WEST 9 STREET,5 AVENUE,,0,0,23.1,0.0,0.0,0.0,12.0,231.0,BROOKLYN,83.0
2019,9,23,14,0,MANHATTAN,40.773773,-73.96608,EAST 74 STREET,5 AVENUE,,0,0,23.1,0.0,0.0,0.0,12.0,231.0,BROOKLYN,83.0
2019,9,23,14,30,QUEENS,40.763958,-73.82814,UNION STREET,NORTHERN BOULEVARD,,0,0,23.1,0.0,0.0,0.0,12.0,231.0,QUEENS,232.75
2019,9,23,10,0,QUEENS,40.769283,-73.82445,32 AVENUE,PARSONS BOULEVARD,,0,0,20.8,0.0,0.0,0.0,7.7,208.0,QUEENS,84.5
2019,9,23,10,30,BROOKLYN,40.69365,-73.98333,FLATBUSH AVENUE EXTENSION,MYRTLE AVENUE,,0,0,20.8,0.0,0.0,0.0,7.7,208.0,QUEENS,40.5
2019,9,23,20,30,QUEENS,40.75159,-73.88655,80 STREET,35 AVENUE,,0,0,30.6,0.0,0.0,1.0,16.1,214.0,QUEENS,59.75
